epoch,step,split,eval_scope,eval_batches,eval_max_batches,loss,lr,val_mse,val_mse_lo,val_mse_hi,val_mae,val_mae_lo,val_mae_hi,test_mse,test_mse_lo,test_mse_hi,test_mae,test_mae_lo,test_mae_hi
0,20,train,,,,613.1248214721679,6.153846153846155e-06,,,,,,,,,,,,
0,40,train,,,,532.5664535522461,1.076923076923077e-05,,,,,,,,,,,,
0,60,train,,,,470.8490188598633,1.5384615384615387e-05,,,,,,,,,,,,
0,80,train,,,,365.7984504699707,2e-05,,,,,,,,,,,,
0,100,train,,,,298.69157180786135,2e-05,,,,,,,,,,,,
0,120,train,,,,234.8570358276367,2e-05,,,,,,,,,,,,
0,140,train,,,,163.63153038024902,2e-05,,,,,,,,,,,,
0,160,train,,,,145.36551361083986,2e-05,,,,,,,,,,,,
0,180,train,,,,113.41693916320801,2e-05,,,,,,,,,,,,
0,200,train,,,,89.47549285888672,2e-05,,,,,,,,,,,,
0,220,train,,,,75.35148735046387,2e-05,,,,,,,,,,,,
0,240,train,,,,73.24817638397217,2e-05,,,,,,,,,,,,
0,260,train,,,,64.12885894775391,2e-05,,,,,,,,,,,,
0,280,train,,,,54.593739128112794,2e-05,,,,,,,,,,,,
0,300,train,,,,45.794942665100095,2e-05,,,,,,,,,,,,
0,320,train,,,,42.74463224411011,2e-05,,,,,,,,,,,,
0,340,train,,,,40.04889917373657,2e-05,,,,,,,,,,,,
0,360,train,,,,34.89079036712646,2e-05,,,,,,,,,,,,
0,380,train,,,,25.9741690158844,2e-05,,,,,,,,,,,,
0,400,train,,,,25.715562629699708,2e-05,,,,,,,,,,,,
0,420,train,,,,24.280282545089722,2e-05,,,,,,,,,,,,
0,440,train,,,,22.25403141975403,2e-05,,,,,,,,,,,,
0,460,train,,,,21.205449295043945,2e-05,,,,,,,,,,,,
0,480,train,,,,19.6362087726593,2e-05,,,,,,,,,,,,
0,500,train,,,,21.56822786331177,2e-05,,,,,,,,,,,,
0,500,,step,64,64,,,5.4860920906066895,5.2323527336120605,5.758077144622803,1.61451256275177,1.5933088064193726,1.6351227760314941,,,,,,
0,520,train,,,,16.984288620948792,2e-05,,,,,,,,,,,,
0,540,train,,,,15.760173177719116,2e-05,,,,,,,,,,,,
0,560,train,,,,13.827276110649109,2e-05,,,,,,,,,,,,
0,580,train,,,,11.380773901939392,2e-05,,,,,,,,,,,,
0,600,train,,,,10.351906371116637,2e-05,,,,,,,,,,,,
0,620,train,,,,8.536019968986512,2e-05,,,,,,,,,,,,
0,640,train,,,,7.9119359970092775,2e-05,,,,,,,,,,,,
0,660,train,,,,8.592724704742432,2e-05,,,,,,,,,,,,
0,680,train,,,,7.918820631504059,2e-05,,,,,,,,,,,,
0,700,train,,,,7.557220411300659,2e-05,,,,,,,,,,,,
0,720,train,,,,5.662057864665985,2e-05,,,,,,,,,,,,
0,740,train,,,,5.482300293445587,2e-05,,,,,,,,,,,,
0,760,train,,,,5.491464900970459,2e-05,,,,,,,,,,,,
0,780,train,,,,5.3521400690078735,2e-05,,,,,,,,,,,,
0,800,train,,,,4.132024931907654,2e-05,,,,,,,,,,,,
0,820,train,,,,4.3978386759758,2e-05,,,,,,,,,,,,
0,840,train,,,,3.579159361124039,2e-05,,,,,,,,,,,,
0,860,train,,,,3.466192603111267,2e-05,,,,,,,,,,,,
0,880,train,,,,2.9627544581890106,2e-05,,,,,,,,,,,,
0,900,train,,,,2.9487583160400392,2e-05,,,,,,,,,,,,
0,920,train,,,,2.782278096675873,2e-05,,,,,,,,,,,,
0,940,train,,,,2.3730631828308106,2e-05,,,,,,,,,,,,
0,960,train,,,,2.3057005941867827,2e-05,,,,,,,,,,,,
0,980,train,,,,2.076652544736862,2e-05,,,,,,,,,,,,
0,1000,train,,,,1.5215767472982407,2e-05,,,,,,,,,,,,
0,1000,,step,64,64,,,0.8003970980644226,0.761030375957489,0.8446924090385437,0.5662532448768616,0.5584837794303894,0.5752575397491455,,,,,,
0,1020,train,,,,1.5824712276458741,2e-05,,,,,,,,,,,,
0,1040,train,,,,1.7813675612211228,2e-05,,,,,,,,,,,,
0,1060,train,,,,1.5313080906867982,2e-05,,,,,,,,,,,,
0,1080,train,,,,1.2925594240427016,2e-05,,,,,,,,,,,,
0,1100,train,,,,1.2337577521800995,2e-05,,,,,,,,,,,,
0,1120,train,,,,1.1377717465162278,2e-05,,,,,,,,,,,,
0,1140,train,,,,1.1959200650453568,2e-05,,,,,,,,,,,,
0,1160,train,,,,1.14224314391613,2e-05,,,,,,,,,,,,
0,1180,train,,,,1.1393448919057847,2e-05,,,,,,,,,,,,
0,1200,train,,,,0.8673118054866791,2e-05,,,,,,,,,,,,
0,1220,train,,,,0.8869397193193436,2e-05,,,,,,,,,,,,
0,1240,train,,,,0.847010326385498,2e-05,,,,,,,,,,,,
0,1260,train,,,,0.8311135292053222,2e-05,,,,,,,,,,,,
0,1280,train,,,,0.7461325943470001,2e-05,,,,,,,,,,,,
0,1300,train,,,,0.7663841918110847,2e-05,,,,,,,,,,,,
0,1320,train,,,,0.7240947976708412,2e-05,,,,,,,,,,,,
0,1340,train,,,,0.6960855424404144,2e-05,,,,,,,,,,,,
0,1360,train,,,,0.674376118183136,2e-05,,,,,,,,,,,,
0,1380,train,,,,0.6357471510767937,2e-05,,,,,,,,,,,,
0,1400,train,,,,0.6877404093742371,2e-05,,,,,,,,,,,,
0,1420,train,,,,0.6129133939743042,2e-05,,,,,,,,,,,,
0,1440,train,,,,0.6474816039204597,2e-05,,,,,,,,,,,,
0,1460,train,,,,0.554492925107479,2e-05,,,,,,,,,,,,
0,1480,train,,,,0.5063194826245307,2e-05,,,,,,,,,,,,
0,1500,train,,,,0.5330263212323189,2e-05,,,,,,,,,,,,
0,1500,,step,64,64,,,0.40393367409706116,0.36217600107192993,0.46134570240974426,0.3811385929584503,0.3756040036678314,0.38731592893600464,,,,,,
0,1520,train,,,,0.4777020409703255,2e-05,,,,,,,,,,,,
0,1540,train,,,,0.48448807895183565,2e-05,,,,,,,,,,,,
0,1560,train,,,,0.5082950010895729,2e-05,,,,,,,,,,,,
0,1580,train,,,,0.5031368359923363,2e-05,,,,,,,,,,,,
0,1600,train,,,,0.4802649036049843,2e-05,,,,,,,,,,,,
0,1620,train,,,,0.3897397890686989,2e-05,,,,,,,,,,,,
0,1640,train,,,,0.4351556420326233,2e-05,,,,,,,,,,,,
0,1660,train,,,,0.45652598738670347,2e-05,,,,,,,,,,,,
0,1680,train,,,,0.4514455422759056,2e-05,,,,,,,,,,,,
0,1700,train,,,,0.3831228628754616,2e-05,,,,,,,,,,,,
0,1720,train,,,,0.3768914043903351,2e-05,,,,,,,,,,,,
0,1740,train,,,,0.3683435291051865,2e-05,,,,,,,,,,,,
0,1760,train,,,,0.3504005715250969,2e-05,,,,,,,,,,,,
0,1780,train,,,,0.3169692814350128,2e-05,,,,,,,,,,,,
0,1800,train,,,,0.3606267437338829,2e-05,,,,,,,,,,,,
0,1820,train,,,,0.3466426506638527,2e-05,,,,,,,,,,,,
0,1840,train,,,,0.33952256441116335,2e-05,,,,,,,,,,,,
0,1860,train,,,,0.4992495134472847,2e-05,,,,,,,,,,,,
0,1880,train,,,,0.38836211115121844,2e-05,,,,,,,,,,,,
0,1900,train,,,,0.3304650619626045,2e-05,,,,,,,,,,,,
0,1920,train,,,,0.3678216479718685,2e-05,,,,,,,,,,,,
0,1940,train,,,,0.3772601805627346,2e-05,,,,,,,,,,,,
0,1960,train,,,,0.3342342466115952,2e-05,,,,,,,,,,,,
0,1980,train,,,,0.3486850492656231,2e-05,,,,,,,,,,,,
0,2000,train,,,,0.37257288321852683,2e-05,,,,,,,,,,,,
0,2000,,step,64,64,,,0.2806175649166107,0.2533348500728607,0.3209429681301117,0.32205772399902344,0.3173709213733673,0.327915221452713,,,,,,
0,2020,train,,,,0.325453320145607,2e-05,,,,,,,,,,,,
0,2040,train,,,,0.3059382513165474,2e-05,,,,,,,,,,,,
0,2060,train,,,,0.37238163203001023,2e-05,,,,,,,,,,,,
0,2080,train,,,,0.29055185317993165,2e-05,,,,,,,,,,,,
0,2100,train,,,,0.280996847897768,2e-05,,,,,,,,,,,,
0,2120,train,,,,0.30133330821990967,2e-05,,,,,,,,,,,,
0,2140,train,,,,0.2819110989570618,2e-05,,,,,,,,,,,,
0,2160,train,,,,0.2952976949512959,2e-05,,,,,,,,,,,,
0,2180,train,,,,0.3016051582992077,2e-05,,,,,,,,,,,,
0,2200,train,,,,0.29670087471604345,2e-05,,,,,,,,,,,,
0,2220,train,,,,0.24737121239304544,2e-05,,,,,,,,,,,,
0,2240,train,,,,0.2648986764252186,2e-05,,,,,,,,,,,,
0,2260,train,,,,0.29692725017666816,2e-05,,,,,,,,,,,,
0,2280,train,,,,0.23475004211068154,2e-05,,,,,,,,,,,,
0,2300,train,,,,0.22469810768961906,2e-05,,,,,,,,,,,,
0,2320,train,,,,0.27880174964666365,2e-05,,,,,,,,,,,,
0,2340,train,,,,0.3086534358561039,2e-05,,,,,,,,,,,,
0,2360,train,,,,0.2712664157152176,2e-05,,,,,,,,,,,,
0,2380,train,,,,0.21877918988466263,2e-05,,,,,,,,,,,,
0,2400,train,,,,0.23086414411664008,2e-05,,,,,,,,,,,,
0,2420,train,,,,0.2158091075718403,2e-05,,,,,,,,,,,,
0,2440,train,,,,0.20624343827366828,2e-05,,,,,,,,,,,,
0,2460,train,,,,0.2550569288432598,2e-05,,,,,,,,,,,,
0,2480,train,,,,0.24437425956130027,2e-05,,,,,,,,,,,,
0,2500,train,,,,0.22712780386209488,2e-05,,,,,,,,,,,,
0,2500,,step,64,64,,,0.21267825365066528,0.1979338377714157,0.23068584501743317,0.2890261113643646,0.2845081388950348,0.29391229152679443,,,,,,
0,2520,train,,,,0.22362503930926322,2e-05,,,,,,,,,,,,
0,2540,train,,,,0.22831213772296904,2e-05,,,,,,,,,,,,
0,2560,train,,,,0.2148601584136486,2e-05,,,,,,,,,,,,
0,2580,train,,,,0.18501595556735992,2e-05,,,,,,,,,,,,
0,2600,train,,,,0.2622982457280159,2e-05,,,,,,,,,,,,
0,2620,train,,,,0.19911945089697838,2e-05,,,,,,,,,,,,
0,2640,train,,,,0.20604958906769752,2e-05,,,,,,,,,,,,
0,2660,train,,,,0.21191214248538018,2e-05,,,,,,,,,,,,
0,2680,train,,,,0.22183994203805923,2e-05,,,,,,,,,,,,
