step,fitness,best,sigma
124,0.5446730816364288,0.5457270324230195,0.002
125,0.5449284664789835,0.5457270324230195,0.002
126,0.545168225367864,0.5457270324230195,0.002
127,0.5446067736546198,0.5457270324230195,0.002
128,0.545019363562266,0.5457270324230195,0.002
129,0.544861227273941,0.5457270324230195,0.002
130,0.5446312304337819,0.5457270324230195,0.002
131,0.5449568716684977,0.5457270324230195,0.002
132,0.5453649302323659,0.5457270324230195,0.002
133,0.5452333949009578,0.5457270324230195,0.002
134,0.5456460144122441,0.5457270324230195,0.002
135,0.5454019240538279,0.5457270324230195,0.002
136,0.5449044483900071,0.5457270324230195,0.002
137,0.5460079252719879,0.5460079252719879,0.002
138,0.5456369147698085,0.5460079252719879,0.002
139,0.5458906718095143,0.5460079252719879,0.002
140,0.545262933174769,0.5460079252719879,0.002
141,0.5456815111637116,0.5460079252719879,0.002
142,0.545481006304423,0.5460079252719879,0.002
143,0.545785135825475,0.5460079252719879,0.002
144,0.5457631927728653,0.5460079252719879,0.002
145,0.5450492026408513,0.5460079252719879,0.002
146,0.545179856022199,0.5460079252719879,0.002
147,0.5453387580315272,0.5460079252719879,0.002
148,0.5454589076836904,0.5460079252719879,0.002
149,0.5450745459397633,0.5460079252719879,0.002
150,0.5450979562600454,0.5460079252719879,0.002
151,0.5456220930814744,0.5460079252719879,0.002
152,0.5449567212661107,0.5460079252719879,0.002
153,0.5449887384970983,0.5460079252719879,0.002
154,0.5453145758310953,0.5460079252719879,0.002
155,0.5452257227897644,0.5460079252719879,0.002
156,0.5454130774736404,0.5460079252719879,0.002
157,0.5451816153526307,0.5460079252719879,0.002
158,0.5454691636562348,0.5460079252719879,0.002
159,0.5453091474374135,0.5460079252719879,0.002
160,0.5450653088092804,0.5460079252719879,0.002
161,0.5453706419467926,0.5460079252719879,0.002
162,0.5456042677164078,0.5460079252719879,0.002
163,0.545210835536321,0.5460079252719879,0.002
164,0.5449489217996597,0.5460079252719879,0.002
165,0.5456074959039688,0.5460079252719879,0.002
166,0.5454751276969909,0.5460079252719879,0.002
167,0.5454000196854274,0.5460079252719879,0.002
168,0.5451610346635183,0.5460079252719879,0.002
169,0.5452968213955561,0.5460079252719879,0.002
170,0.5456410451730093,0.5460079252719879,0.002
171,0.5452673244476318,0.5460079252719879,0.002
172,0.5457189641396205,0.5460079252719879,0.002
173,0.5452883183956146,0.5460079252719879,0.002
174,0.54517897884051,0.5460079252719879,0.002
175,0.5453734018405278,0.5460079252719879,0.002
176,0.5458949422836303,0.5460079252719879,0.002
177,0.5455852009852727,0.5460079252719879,0.002
178,0.5455523627996445,0.5460079252719879,0.002
179,0.5452244897683461,0.5460079252719879,0.002
180,0.5456054425239563,0.5460079252719879,0.002
181,0.5452351303895314,0.5460079252719879,0.002
182,0.5455640010039011,0.5460079252719879,0.002
183,0.545641036828359,0.5460079252719879,0.002
184,0.5459081153074901,0.5460079252719879,0.002
185,0.5458110956350962,0.5460079252719879,0.002
186,0.5457968280712764,0.5460079252719879,0.002
187,0.5459059995412826,0.5460079252719879,0.002
188,0.5457721781730652,0.5460079252719879,0.002
189,0.5459850027163824,0.5460079252719879,0.002
190,0.5459094421068827,0.5460079252719879,0.002
191,0.5458934394518534,0.5460079252719879,0.002
192,0.5460033917427063,0.5460079252719879,0.002
193,0.5460618491967519,0.5460618491967519,0.002
194,0.5457099405924479,0.5460618491967519,0.002
195,0.5459757882356644,0.5460618491967519,0.002
196,0.5456257255872091,0.5460618491967519,0.002
197,0.545860215028127,0.5460618491967519,0.002
198,0.5459211965401968,0.5460618491967519,0.002
199,0.5459172133604685,0.5460618491967519,0.002
