source,id,residue_count,smiles
chembl_peptide_subset,6092,3,Brc1ccc(cc1)COC[C@@H]([C@H](CC(=O)N[C@H](C(=O)N[C@H](C(=O)N)CC(C)C)C)O)NC(=O)[C@@H]1Cc2c(N1)cccc2
chembl_peptide_subset,4750,3,C#CC[C@@H](C(=O)N[C@H](C(=O)N)CC(C)C)NC(=O)C[C@@H]([C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)NC(=O)c1ccccn1)O
chembl_peptide_subset,13731,3,C/C=C/C(=O)NCCCC[C@@H](C(=O)N[C@H](C(=O)OC)C)NC(=O)[C@@H](NC(=O)C)C
chembl_peptide_subset,119948,3,C/C=C/C(=O)NCCCC[C@@H](C(=O)Nc1ccc2c(c1)oc(=O)cc2C)NC(=O)CNC(=O)[C@@H](NC(=O)C)CC(C)C
chembl_peptide_subset,83587,3,C=CCNCC(=O)N[C@H](C(=O)N[C@H](C(=O)OC)C(C)C)[C@H](CC)C
chembl_peptide_subset,134467,3,CC(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)C(F)(F)F)C(C)C)C(C)C
chembl_peptide_subset,134292,3,CC(=O)N[C@H](C(=O)NC1(CCC1)C(=O)N[C@H](C(=O)N)CC(=O)N)c1ccc(cc1)OP(=O)(O)O
chembl_peptide_subset,115684,3,CC(=O)N[C@H](C(=O)NCCCC[C@@H](C(=O)N[C@@H](C(=O)N(Cc1ccccc1)C)Cc1ccccc1)NC(=O)c1c[nH]c2c1cccc2)[C@H](O)C
chembl_peptide_subset,130682,3,CC(=O)N[C@H](C(=O)NCc1ccccc1)CCCCNC(=O)[C@@H]1Cc2ccccc2CN1C(=O)[C@H](Cc1c(C)cc(cc1C)O)N
chembl_peptide_subset,126228,3,CC(=O)N[C@H](C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N)Cc1ccc(cc1)F)CCC1CCCCC1
chembl_peptide_subset,120868,3,CC(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N)Cc1ccccc1)Cc1c[nH]c2c1cccc2
chembl_peptide_subset,5853,3,CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)O)C)C)CCCCNC(=O)C
chembl_peptide_subset,12036,3,CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)COC(=O)c1c(C)cccc1C)CCCNC(=N)N)Cc1ccccc1)Cc1ccc(cc1)O
chembl_peptide_subset,84032,3,CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)Cc1ccccc1)CCCCNC(=N)N)[C@H](O)C)Cc1ccc(cc1)O
chembl_peptide_subset,13753,3,CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)C)CCCCNC(=O)C=C(C)C)C
chembl_peptide_subset,130364,3,CC(=O)N[C@H](C(=O)Nc1ccccc1)CCCCNC(=O)[C@@H]1Cc2ccccc2CN1C(=O)[C@H](Cc1c(C)cc(cc1C)O)N
chembl_peptide_subset,13919,3,CC(COC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)Nc1ccccc1)Cc1ccccc1)Cc1c[nH]c2c1cccc2)CCCNC(=N)N)C
chembl_peptide_subset,110154,3,CC(C[C@@H](C(=O)N1CCC[C@@H](C1)NCC(=O)N1CCC[C@H]1C(=O)N)N)C
chembl_peptide_subset,110153,3,CC(C[C@@H](C(=O)N1CCC[C@H](C1)NCC(=O)N1CCC[C@H]1C(=O)N)N)C
chembl_peptide_subset,114762,3,CC(C[C@@H](C(=O)N1CCC[C@H]1C(=O)N)NC(=O)[C@@H]1CCCC(=O)N1)C
chembl_peptide_subset,82426,3,CC(C[C@@H](C(=O)N1C[C@@H]2[C@H]([C@H]1C(=O)N[C@H](C(=O)NCc1ccccc1)CCC(=O)N)C2)NC(=O)/C=C(/c1ccc(cc1)OP(=O)(O)O)\C)C
chembl_peptide_subset,83927,3,CC(C[C@@H](C(=O)N1[C@@H](C[C@]2([C@@H]1Nc1c2cccc1)C/C=C(/CCC=C(C)C)\C)C(=O)N[C@H](C(=O)O)C)N)C
chembl_peptide_subset,134257,3,CC(C[C@@H](C(=O)NCC(=O)N)NC(=O)[C@@H]1CCCCN1)C
chembl_peptide_subset,134388,3,CC(C[C@@H](C(=O)NCC(=O)N)NC(=O)[C@@H]1CCCN1C(=O)OCc1ccccc1)C
chembl_peptide_subset,134258,3,CC(C[C@@H](C(=O)NCC(=O)N)NC(=O)[C@H]1NCC=C1)C
chembl_peptide_subset,110157,3,CC(C[C@@H](C(=O)NCC(=O)N1CCC[C@@H](C1)[N@@]1CCC[C@H]1C(=O)N)N)C
chembl_peptide_subset,71134,3,CC(C[C@@H](C(=O)NCCC(=O)Nc1cccc(c1)C(=O)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CNC(=O)C1=N[N]N[N]1)N)C
chembl_peptide_subset,66060,3,CC(C[C@@H](C(=O)N[C@@H](C(=O)N)CC(C)C)NC(=O)[C@@H](Cc1ccc(cc1)OCc1ccccc1)NC(=O)OC(C)(C)C)C
chembl_peptide_subset,74959,3,CC(C[C@@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)O)CC(=O)O)Cc1cn(c2c1cccc2)C)NC(=O)N1CCCCCC1)C
chembl_peptide_subset,42233,3,CC(C[C@@H](C(=O)N[C@@H](C(=O)O)Cc1ccccc1)NC(=O)N1CC(=O)Nc2c1cccc2)C
