task,runs,rows,eval_rows,best_val,best_val_step,final_val_median_10,val_auc_mean,val_last10_iqr,slope_per_step,epoch_end_points,epoch_final_val_median_3
polar,2,852,59,0.005779832601547241,15324.0,0.006291966885328293,0.02110354102969203,0.0007895816816017032,-5.278234034343514e-06,2,0.012186780571937561
dipole,3,1506,139,0.6444190144538879,27197.0,0.6829659938812256,1.8630616530231647,0.0312822163105011,-1.38944366503641e-05,5,0.7596540451049805
depolar,1,482,45,266163.34375,8696.0,423610.421875,28365678.930792037,219831.015625,-8125.695516098484,2,1142366.171875
hyperpolar,1,269,25,5.082220077514648,4780.0,7.253526210784912,52.60541825050893,4.343212842941284,-0.03851663379972932,1,6.006564617156982
