step,fitness,best
0,0.4260737183690071,0.4260737183690071
1,0.4263252473870913,0.4263252473870913
2,0.4266377165913582,0.4266377165913582
3,0.42730114738146463,0.42730114738146463
4,0.4283995156486829,0.4283995156486829
5,0.429605096578598,0.429605096578598
6,0.430348826944828,0.430348826944828
7,0.43050152450799944,0.43050152450799944
8,0.43063211371501287,0.43063211371501287
9,0.4319001191854477,0.4319001191854477
10,0.43260651171207426,0.43260651171207426
11,0.43297910590966543,0.43297910590966543
12,0.43368332425753275,0.43368332425753275
13,0.4336874878406525,0.4336874878406525
14,0.4344603059689204,0.4344603059689204
15,0.4347902911901474,0.4347902911901474
16,0.43510257005691527,0.43510257005691527
17,0.4343750645716985,0.43510257005691527
18,0.4347105977932612,0.43510257005691527
19,0.43445356249809264,0.43510257005691527
20,0.4349622052907944,0.43510257005691527
21,0.4352665330966314,0.4352665330966314
22,0.43503486474355063,0.4352665330966314
23,0.4358724387486776,0.4358724387486776
24,0.43701086978117626,0.43701086978117626
25,0.43697615643342336,0.43701086978117626
26,0.43662303626537324,0.43701086978117626
27,0.437188172241052,0.437188172241052
28,0.4364937322338422,0.437188172241052
29,0.43752619713544844,0.43752619713544844
30,0.4380410455663999,0.4380410455663999
31,0.43828835676113764,0.43828835676113764
32,0.4379140672087669,0.43828835676113764
33,0.43831430941820143,0.43831430941820143
34,0.4382038539648056,0.43831430941820143
35,0.4392452307542165,0.4392452307542165
36,0.4382496604323387,0.4392452307542165
37,0.43799935350815455,0.4392452307542165
38,0.4389794139067332,0.4392452307542165
39,0.43937061150868734,0.43937061150868734
40,0.4397102411588033,0.4397102411588033
41,0.4413108410437902,0.4413108410437902
42,0.4417108142375946,0.4417108142375946
43,0.4425680728753408,0.4425680728753408
44,0.442967742284139,0.442967742284139
45,0.4429998731613159,0.4429998731613159
46,0.4437626202901204,0.4437626202901204
47,0.4433785857756933,0.4437626202901204
48,0.4439670084913572,0.4439670084913572
49,0.4438852849602699,0.4439670084913572
50,0.44383291572332384,0.4439670084913572
51,0.44339799334605534,0.4439670084913572
52,0.44328715731700263,0.4439670084913572
53,0.4433090689778328,0.4439670084913572
54,0.4435773061712583,0.4439670084913572
55,0.44285418758789696,0.4439670084913572
56,0.443245479563872,0.4439670084913572
57,0.4437277089556058,0.4439670084913572
58,0.4433856279651324,0.4439670084913572
59,0.4431928979357084,0.4439670084913572
60,0.44319939881563186,0.4439670084913572
61,0.44380023767550786,0.4439670084913572
62,0.443990937769413,0.443990937769413
63,0.44331261664628985,0.443990937769413
64,0.4441739576061567,0.4441739576061567
65,0.4445490236083666,0.4445490236083666
66,0.4449138364195824,0.4449138364195824
67,0.44510728667179744,0.44510728667179744
